Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2022-03-20 23:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 23, 0, 6.18, 5, 14.6, 780, 36, 254, 21, 002C6A5C0FFE8BDFF17015FF30CA024A4E3FCFF9
2022-03-20 22:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 22, 0, 6.25, 10, 14.6, 720, 28, 254, 7, 002C6A580FFE8CBFF2B007FF2D0A024A4E3FCFF7
2022-03-20 21:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 21, 0, 6.28, 6, 14.6, 660, 28, 254, 9, 002C6A540FFE8D1FF1B009FF294A024A4E3FCFF7
2022-03-20 20:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 20, 0, 6.43, 8, 14.6, 600, 36, 254, 6, 002C6A500FFE8EFFF23006FF258A024A4E3FCFF9
2022-03-20 19:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 19, 0, 6.43, 7, 14.6, 540, 32, 254, 12, 002C6A4C0FFE8EFFF1F00CFF21CA024A4E3FCFF8
2022-03-20 18:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 18, 0, 6.59, 6, 14.6, 480, 32, 254, 1, 002C6A480FFE90FFF1B001FF1E0A024A4E3FCFF8
2022-03-20 17:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 17, 0, 6.67, 6, 14.6, 420, 24, 254, 16, 002C6A440FFE91FFF1B010FF1A4A024A4E3FCFF6
2022-03-20 16:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 16, 0, 6.84, 6, 14.6, 360, 36, 254, 18, 002C6A400FFE941FF1B012FF168A024A4E3FCFF9
2022-03-20 15:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 15, 0, 7.10, 7, 14.6, 300, 32, 254, 8, 002C6A3C0FFE975FF1F008FF12CA024A4E3FCFF8
2022-03-20 14:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 14, 0, 7.29, 7, 14.6, 240, 32, 254, 18, 002C6A380FFE99BFF1F012FF0F0A024A4E3FCFF8
2022-03-20 13:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 13, 0, 7.15, 7, 14.6, 180, 36, 254, 10, 002C6A340FFE97FFF1F00AFF0B4A024A4E3FCFF9
2022-03-20 12:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 12, 0, 7.61, 6, 14.6, 120, 32, 254, 3, 002C6A300FFE9DBFF1B003FF078A024A4E3FCFF8
2022-03-20 11:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 11, 0, 7.46, 6, 14.6, 60, 36, 254, 8, 002C6A2C0FFE9BDFF1B008FF03CA024A4E3FCFF9
2022-03-20 10:00:00, 41.189200, -51.796600, 0, 2022, 3, 20, 10, 0, 7.54, 5, 14.6, 0, 36, 192, 14, 002C6A280FFE9CDFF1700EFF000A024A4E3FCE09
2022-03-20 09:20:00, 41.182800, -51.820000, 0, 2022, 3, 20, 9, 20, 8.17, 63, 14.6, 0, 36, 206, 1, 002C6A254FFEA4BFFFF001FF000A022A4E3C2679
2022-03-12 08:00:00, 42.283200, -53.646200, 0, 2022, 3, 12, 8, 0, 12.88, 5, 14.6, 445, 32, 254, 3, 002C66200FFEDF9FF17003FF1BDA17A84D1ECFF8
2022-03-12 07:00:00, 42.283200, -53.646200, 0, 2022, 3, 12, 7, 0, 12.76, 7, 14.6, 385, 28, 254, 1, 002C661C0FFEDE1FF1F001FF181A17A84D1ECFF7
2022-03-12 06:00:00, 42.283200, -53.646200, 0, 2022, 3, 12, 6, 0, 12.71, 6, 14.6, 325, 32, 254, 8, 002C66180FFEDD7FF1B008FF145A17A84D1ECFF8
2022-03-12 05:00:00, 42.283200, -53.646200, 0, 2022, 3, 12, 5, 0, 12.65, 5, 14.6, 265, 32, 254, 7, 002C66140FFEDCBFF17007FF109A17A84D1ECFF8
2022-03-12 04:00:00, 42.283200, -53.646200, 0, 2022, 3, 12, 4, 0, 12.66, 7, 14.6, 205, 32, 254, 8, 002C66100FFEDCDFF1F008FF0CDA17A84D1ECFF8
2022-03-12 03:00:00, 42.283200, -53.646200, 0, 2022, 3, 12, 3, 0, 12.68, 6, 14.6, 145, 32, 254, 17, 002C660C0FFEDD1FF1B011FF091A17A84D1ECFF8
2022-03-12 02:00:00, 42.283200, -53.646200, 0, 2022, 3, 12, 2, 0, 12.53, 5, 14.6, 85, 32, 254, 8, 002C66080FFEDB3FF17008FF055A17A84D1ECFF8
2022-03-12 01:00:00, 42.283200, -53.646200, 0, 2022, 3, 12, 1, 0, 12.46, 6, 14.6, 25, 28, 254, 13, 002C66040FFEDA5FF1B00DFF019A17A84D1ECFF7
2022-03-12 00:38:00, 42.283200, -53.646200, 0, 2022, 3, 12, 0, 38, 12.28, 63, 14.6, 0, 32, 186, 1, 002C66026FFED81FFFF001FF000A17A84D1ECDD8
2022-03-02 08:00:00, 40.320000, -56.537200, 0, 2022, 3, 2, 8, 0, 18.68, 9, 14.8, 168, 28, 254, 8, 002C61200FFF281FF27108FF0A89F1504B5B17F7
2022-03-02 07:00:00, 40.320000, -56.537200, 0, 2022, 3, 2, 7, 0, 18.73, 8, 14.8, 108, 28, 254, 9, 002C611C0FFF28BFF23109FF06C9F1504B5B17F7
2022-03-02 06:00:00, 40.320000, -56.537200, 0, 2022, 3, 2, 6, 0, 17.84, 7, 14.8, 48, 24, 254, 10, 002C61180FFF1D9FF1F10AFF0309F1504B5B17F6
2022-03-02 05:16:00, 40.320000, -56.537200, 0, 2022, 3, 2, 5, 16, 18.79, 63, 14.8, 0, 32, 160, 8, 002C61150FFF297FFFF108FF0009F1504B5B1508
2022-02-25 15:00:00, 40.243400, -58.912000, 0, 2022, 2, 25, 15, 0, 16.70, 8, 14.8, 159, 32, 254, 18, 002C4CBC0FFF0F5FF23112FF09F9EFD149E807F8
2022-02-25 14:00:00, 40.243400, -58.912000, 0, 2022, 2, 25, 14, 0, 16.83, 6, 14.8, 99, 36, 254, 2, 002C4CB80FFF10FFF1B102FF0639EFD149E807F9
2022-02-25 13:00:00, 40.243400, -58.912000, 0, 2022, 2, 25, 13, 0, 16.99, 6, 14.8, 39, 32, 254, 13, 002C4CB40FFF12FFF1B10DFF0279EFD149E807F8
2022-02-25 12:24:00, 40.243400, -58.912000, 0, 2022, 2, 25, 12, 24, 17.10, 63, 14.8, 0, 40, 214, 0, 002C4CB18FFF145FFFF100FF0009EFD149E806BA
2022-02-23 14:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 14, 0, 16.04, 6, 14.8, 660, 36, 254, 5, 002C4BB80FFF071FF1B105FF2949D3B74A645FF9
2022-02-23 13:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 13, 0, 16.02, 6, 14.8, 600, 36, 254, 16, 002C4BB40FFF06DFF1B110FF2589D3B74A645FF9
2022-02-23 12:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 12, 0, 16.01, 6, 14.8, 540, 36, 254, 10, 002C4BB00FFF06BFF1B10AFF21C9D3B74A645FF9
2022-02-23 11:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 11, 0, 15.98, 6, 14.8, 480, 32, 254, 11, 002C4BAC0FFF065FF1B10BFF1E09D3B74A645FF8
2022-02-23 10:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 10, 0, 15.97, 6, 14.8, 420, 32, 254, 4, 002C4BA80FFF063FF1B104FF1A49D3B74A645FF8
2022-02-23 09:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 9, 0, 15.94, 7, 14.8, 360, 36, 254, 21, 002C4BA40FFF05DFF1F115FF1689D3B74A645FF9
2022-02-23 08:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 8, 0, 16.00, 6, 14.8, 300, 32, 254, 4, 002C4BA00FFF069FF1B104FF12C9D3B74A645FF8
2022-02-23 07:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 7, 0, 16.01, 8, 14.8, 240, 36, 254, 8, 002C4B9C0FFF06BFF23108FF0F09D3B74A645FF9
2022-02-23 06:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 6, 0, 16.00, 6, 14.8, 180, 32, 254, 22, 002C4B980FFF069FF1B116FF0B49D3B74A645FF8
2022-02-23 05:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 5, 0, 16.02, 9, 14.8, 120, 32, 254, 4, 002C4B940FFF06DFF27104FF0789D3B74A645FF8
2022-02-23 04:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 4, 0, 16.07, 7, 14.8, 60, 36, 254, 4, 002C4B900FFF077FF1F104FF03C9D3B74A645FF9
2022-02-23 03:00:00, 38.804600, -58.116200, 0, 2022, 2, 23, 3, 0, 16.06, 6, 14.8, 0, 32, 228, 7, 002C4B8C0FFF075FF1B107FF0009D3B74A645F28
2022-02-23 02:00:00, 38.782000, -58.544000, 0, 2022, 2, 23, 2, 0, 16.12, 7, 14.8, 540, 32, 254, 10, 002C4B880FFF081FF1F10AFF21C9D3464A2187F8
2022-02-23 01:00:00, 38.782000, -58.544000, 0, 2022, 2, 23, 1, 0, 16.17, 6, 14.8, 480, 36, 254, 8, 002C4B840FFF08BFF1B108FF1E09D3464A2187F9
2022-02-23 00:00:00, 38.782000, -58.544000, 0, 2022, 2, 23, 0, 0, 16.23, 7, 14.8, 420, 32, 254, 27, 002C4B800FFF097FF1F11BFF1A49D3464A2187F8
2022-02-22 23:00:00, 38.782000, -58.544000, 0, 2022, 2, 22, 23, 0, 16.17, 7, 14.8, 360, 32, 254, 4, 002C4B5C0FFF08BFF1F104FF1689D3464A2187F8
2022-02-22 22:00:00, 38.782000, -58.544000, 0, 2022, 2, 22, 22, 0, 16.16, 5, 14.8, 300, 32, 254, 7, 002C4B580FFF089FF17107FF12C9D3464A2187F8
2022-02-22 21:00:00, 38.782000, -58.544000, 0, 2022, 2, 22, 21, 0, 16.18, 5, 14.8, 240, 28, 254, 9, 002C4B540FFF08DFF17109FF0F09D3464A2187F7
2022-02-22 20:00:00, 38.782000, -58.544000, 0, 2022, 2, 22, 20, 0, 16.11, 5, 14.8, 180, 32, 254, 8, 002C4B500FFF07FFF17108FF0B49D3464A2187F8
2022-02-22 19:00:00, 38.782000, -58.544000, 0, 2022, 2, 22, 19, 0, 16.09, 5, 14.8, 120, 36, 254, 7, 002C4B4C0FFF07BFF17107FF0789D3464A2187F9
2022-02-22 18:00:00, 38.782000, -58.544000, 0, 2022, 2, 22, 18, 0, 16.06, 5, 14.8, 60, 32, 254, 4, 002C4B480FFF075FF17104FF03C9D3464A2187F8
2022-02-22 17:00:00, 38.782000, -58.544000, 0, 2022, 2, 22, 17, 0, 15.94, 5, 14.8, 0, 32, 178, 12, 002C4B440FFF05DFF1710CFF0009D3464A218598
2022-02-22 16:00:00, 38.792400, -58.615800, 0, 2022, 2, 22, 16, 0, 15.93, 7, 14.8, 60, 32, 254, 4, 002C4B400FFF05BFF1F104FF03C9D37A4A164FF8
2022-02-22 15:00:00, 38.792400, -58.615800, 0, 2022, 2, 22, 15, 0, 15.89, 5, 14.8, 0, 36, 182, 10, 002C4B3C0FFF053FF1710AFF0009D37A4A164DB9
2022-02-22 14:00:00, 38.802800, -58.754800, 0, 2022, 2, 22, 14, 0, 15.90, 6, 14.8, 240, 36, 254, 1, 002C4B380FFF055FF1B101FF0F09D3AE4A0097F9
2022-02-22 13:00:00, 38.802800, -58.754800, 0, 2022, 2, 22, 13, 0, 15.95, 6, 14.8, 180, 40, 254, 9, 002C4B340FFF05FFF1B109FF0B49D3AE4A0097FA
2022-02-22 12:00:00, 38.802800, -58.754800, 0, 2022, 2, 22, 12, 0, 16.63, 5, 14.8, 120, 36, 254, 18, 002C4B300FFF0E7FF17112FF0789D3AE4A0097F9
2022-02-22 11:00:00, 38.802800, -58.754800, 0, 2022, 2, 22, 11, 0, 16.11, 5, 14.8, 60, 36, 254, 3, 002C4B2C0FFF07FFF17103FF03C9D3AE4A0097F9
2022-02-22 10:00:00, 38.802800, -58.754800, 0, 2022, 2, 22, 10, 0, 16.27, 5, 14.8, 0, 36, 176, 4, 002C4B280FFF09FFF17104FF0009D3AE4A009589
2022-02-22 09:00:00, 38.806800, -58.780800, 0, 2022, 2, 22, 9, 0, 16.31, 4, 14.8, 0, 36, 196, 10, 002C4B240FFF0A7FF1310AFF0009D3C249FC8629
2022-02-22 08:00:00, 38.833600, -58.905200, 0, 2022, 2, 22, 8, 0, 15.84, 5, 14.8, 120, 32, 254, 10, 002C4B200FFF049FF1710AFF0789D44849E917F8
2022-02-22 07:00:00, 38.833600, -58.905200, 0, 2022, 2, 22, 7, 0, 15.84, 6, 14.8, 60, 40, 254, 4, 002C4B1C0FFF049FF1B104FF03C9D44849E917FA
2022-02-22 06:00:00, 38.833600, -58.905200, 0, 2022, 2, 22, 6, 0, 15.80, 7, 14.8, 0, 36, 196, 8, 002C4B180FFF041FF1F108FF0009D44849E91629
2022-02-22 05:00:00, 38.861800, -58.994800, 0, 2022, 2, 22, 5, 0, 15.86, 7, 14.8, 60, 36, 254, 12, 002C4B140FFF04DFF1F10CFF03C9D4D549DB17F9
2022-02-22 04:00:00, 38.861800, -58.994800, 0, 2022, 2, 22, 4, 0, 15.87, 5, 14.8, 0, 36, 228, 8, 002C4B100FFF04FFF17108FF0009D4D549DB1729
2022-02-22 03:00:00, 38.901000, -59.080800, 0, 2022, 2, 22, 3, 0, 15.88, 5, 14.8, 62, 32, 254, 14, 002C4B0C0FFF051FF1710EFF03E9D59949CDA7F8
2022-02-22 02:00:00, 38.901000, -59.080800, 0, 2022, 2, 22, 2, 0, 15.86, 5, 14.8, 0, 36, 78, 11, 002C4B080FFF04DFF1710BFF0009D59949CDA279
2022-02-22 01:00:00, 38.923200, -59.120600, 0, 2022, 2, 22, 1, 0, 15.87, 6, 14.8, 0, 36, 138, 20, 002C4B040FFF04FFF1B114FF0009D60849C76C59
2022-02-22 00:00:00, 38.945400, -59.161800, 0, 2022, 2, 22, 0, 0, 15.83, 5, 14.8, 0, 36, 144, 4, 002C4B000FFF047FF17104FF0009D67749C0FC89
2022-02-21 23:00:00, 38.990000, -59.243400, 0, 2022, 2, 21, 23, 0, 15.89, 6, 14.8, 62, 32, 254, 6, 002C4ADC0FFF053FF1B106FF03E9D75649B43FF8
2022-02-21 22:00:00, 38.990000, -59.243400, 0, 2022, 2, 21, 22, 0, 15.92, 5, 14.8, 0, 36, 72, 18, 002C4AD80FFF059FF17112FF0009D75649B43A49
2022-02-21 21:00:00, 39.027000, -59.314600, 0, 2022, 2, 21, 21, 0, 15.87, 6, 14.8, 62, 36, 254, 17, 002C4AD40FFF04FFF1B111FF03E9D80F49A91FF9
2022-02-21 20:00:00, 39.027000, -59.314600, 0, 2022, 2, 21, 20, 0, 15.88, 6, 14.8, 0, 36, 74, 20, 002C4AD00FFF051FF1B114FF0009D80F49A91A59
2022-02-21 19:00:00, 39.042200, -59.347600, 0, 2022, 2, 21, 19, 0, 15.88, 5, 14.8, 0, 36, 130, 10, 002C4ACC0FFF051FF1710AFF0009D85B49A3F419
2022-02-21 18:00:00, 39.057200, -59.377600, 0, 2022, 2, 21, 18, 0, 15.82, 6, 14.8, 0, 40, 142, 3, 002C4AC80FFF045FF1B103FF0009D8A6499F447A
2022-02-21 17:00:00, 39.072600, -59.405800, 0, 2022, 2, 21, 17, 0, 15.86, 6, 14.8, 0, 36, 196, 22, 002C4AC40FFF04DFF1B116FF0009D8F3499ADE29
2022-02-21 16:00:00, 39.086800, -59.432800, 0, 2022, 2, 21, 16, 0, 15.86, 5, 14.8, 0, 36, 192, 14, 002C4AC00FFF04DFF1710EFF0009D93A4996A609
2022-02-21 15:00:00, 39.101000, -59.457000, 0, 2022, 2, 21, 15, 0, 15.87, 6, 14.8, 0, 36, 226, 14, 002C4ABC0FFF04FFF1B10EFF0009D9814992DF19
2022-02-21 14:00:00, 39.114800, -59.481600, 0, 2022, 2, 21, 14, 0, 15.84, 6, 14.8, 0, 36, 172, 21, 002C4AB80FFF049FF1B115FF0009D9C6498F0569
2022-02-21 13:00:00, 39.129200, -59.504200, 0, 2022, 2, 21, 13, 0, 15.94, 5, 14.8, 0, 40, 232, 12, 002C4AB40FFF05DFF1710CFF0009DA0E498B7F4A
2022-02-21 12:00:00, 39.146800, -59.523000, 0, 2022, 2, 21, 12, 0, 15.93, 7, 14.8, 0, 36, 202, 20, 002C4AB00FFF05BFF1F114FF0009DA6649888E59
2022-02-21 11:00:00, 39.166200, -59.545800, 0, 2022, 2, 21, 11, 0, 15.84, 6, 14.8, 0, 40, 190, 9, 002C4AAC0FFF049FF1B109FF0009DAC74984FDFA
2022-02-21 10:00:00, 39.186800, -59.570000, 0, 2022, 2, 21, 10, 0, 15.88, 6, 14.8, 0, 32, 206, 8, 002C4AA80FFF051FF1B108FF0009DB2E49813678
2022-02-21 09:00:00, 39.260200, -59.698400, 0, 2022, 2, 21, 9, 0, 15.80, 7, 14.8, 181, 36, 254, 16, 002C4AA40FFF041FF1F110FF0B59DC9D496D27F9
2022-02-21 08:00:00, 39.260200, -59.698400, 0, 2022, 2, 21, 8, 0, 15.83, 7, 14.8, 121, 32, 254, 19, 002C4AA00FFF047FF1F113FF0799DC9D496D27F8
2022-02-21 07:00:00, 39.260200, -59.698400, 0, 2022, 2, 21, 7, 0, 15.84, 6, 14.8, 61, 32, 254, 17, 002C4A9C0FFF049FF1B111FF03D9DC9D496D27F8
2022-02-21 06:00:00, 39.260200, -59.698400, 0, 2022, 2, 21, 6, 0, 15.72, 7, 14.8, 0, 36, 160, 1, 002C4A980FFF031FF1F101FF0009DC9D496D2509
2022-02-21 05:00:00, 39.722800, -60.991000, 0, 2022, 2, 21, 5, 0, 15.75, 7, 14.8, 1680, 32, 254, 8, 002C4A940FFF037FF1F108FF6909E5A648A32FF8
2022-02-21 04:00:00, 39.722800, -60.991000, 0, 2022, 2, 21, 4, 0, 15.76, 6, 14.8, 1620, 36, 254, 29, 002C4A900FFF039FF1B11DFF6549E5A648A32FF9
2022-02-21 03:00:00, 39.722800, -60.991000, 0, 2022, 2, 21, 3, 0, 15.82, 7, 14.8, 1560, 28, 254, 13, 002C4A8C0FFF045FF1F10DFF6189E5A648A32FF7
2022-02-21 02:00:00, 39.722800, -60.991000, 0, 2022, 2, 21, 2, 0, 15.84, 6, 14.8, 1500, 36, 254, 9, 002C4A880FFF049FF1B109FF5DC9E5A648A32FF9
2022-02-21 01:00:00, 39.722800, -60.991000, 0, 2022, 2, 21, 1, 0, 15.88, 7, 14.8, 1440, 36, 254, 24, 002C4A840FFF051FF1F118FF5A09E5A648A32FF9
2022-02-21 00:00:00, 39.722800, -60.991000, 0, 2022, 2, 21, 0, 0, 15.91, 8, 14.8, 1380, 36, 254, 3, 002C4A800FFF057FF23103FF5649E5A648A32FF9
2022-02-20 23:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 23, 0, 15.90, 10, 14.8, 1320, 36, 254, 15, 002C4A5C0FFF055FF2B10FFF5289E5A648A32FF9
2022-02-20 22:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 22, 0, 15.91, 6, 14.8, 1260, 36, 254, 1, 002C4A580FFF057FF1B101FF4EC9E5A648A32FF9
2022-02-20 21:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 21, 0, 15.94, 11, 14.8, 1200, 36, 254, 10, 002C4A540FFF05DFF2F10AFF4B09E5A648A32FF9
2022-02-20 20:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 20, 0, 15.98, 9, 14.8, 1140, 28, 254, 8, 002C4A500FFF065FF27108FF4749E5A648A32FF7
2022-02-20 19:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 19, 0, 16.01, 10, 15.0, 1080, 36, 254, 23, 002C4A4C0FFF06BFF2B217FF4389E5A648A32FF9
2022-02-20 18:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 18, 0, 16.03, 16, 15.0, 1020, 40, 254, 20, 002C4A480FFF06FFF43214FF3FC9E5A648A32FFA
2022-02-20 17:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 17, 0, 16.07, 10, 15.0, 960, 36, 254, 4, 002C4A440FFF077FF2B204FF3C09E5A648A32FF9
2022-02-20 16:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 16, 0, 16.07, 11, 15.0, 900, 36, 254, 9, 002C4A400FFF077FF2F209FF3849E5A648A32FF9
2022-02-20 15:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 15, 0, 16.06, 12, 15.0, 840, 32, 254, 8, 002C4A3C0FFF075FF33208FF3489E5A648A32FF8
2022-02-20 14:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 14, 0, 16.06, 8, 15.0, 780, 32, 254, 10, 002C4A380FFF075FF2320AFF30C9E5A648A32FF8
2022-02-20 13:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 13, 0, 16.02, 8, 15.0, 720, 40, 254, 8, 002C4A340FFF06DFF23208FF2D09E5A648A32FFA
2022-02-20 12:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 12, 0, 15.99, 8, 15.0, 660, 36, 254, 9, 002C4A300FFF067FF23209FF2949E5A648A32FF9
2022-02-20 11:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 11, 0, 15.97, 8, 15.0, 600, 36, 254, 10, 002C4A2C0FFF063FF2320AFF2589E5A648A32FF9
2022-02-20 10:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 10, 0, 15.91, 10, 15.0, 540, 36, 254, 21, 002C4A280FFF057FF2B215FF21C9E5A648A32FF9
2022-02-20 09:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 9, 0, 16.05, 6, 15.0, 480, 32, 254, 4, 002C4A240FFF073FF1B204FF1E09E5A648A32FF8
2022-02-20 08:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 8, 0, 16.32, 9, 15.0, 420, 32, 254, 15, 002C4A200FFF0A9FF2720FFF1A49E5A648A32FF8
2022-02-20 07:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 7, 0, 16.33, 6, 15.0, 360, 36, 254, 1, 002C4A1C0FFF0ABFF1B201FF1689E5A648A32FF9
2022-02-20 06:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 6, 0, 16.48, 8, 15.0, 300, 36, 254, 4, 002C4A180FFF0C9FF23204FF12C9E5A648A32FF9
2022-02-20 05:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 5, 0, 16.69, 7, 15.0, 240, 36, 254, 14, 002C4A140FFF0F3FF1F20EFF0F09E5A648A32FF9
2022-02-20 04:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 4, 0, 17.07, 9, 15.0, 180, 32, 254, 9, 002C4A100FFF13FFF27209FF0B49E5A648A32FF8
2022-02-20 03:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 3, 0, 17.42, 9, 15.0, 120, 28, 254, 10, 002C4A0C0FFF185FF2720AFF0789E5A648A32FF7
2022-02-20 02:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 2, 0, 17.67, 6, 15.0, 60, 36, 254, 26, 002C4A080FFF1B7FF1B21AFF03C9E5A648A32FF9
2022-02-20 01:00:00, 39.722800, -60.991000, 0, 2022, 2, 20, 1, 0, 17.31, 6, 15.0, 0, 36, 208, 11, 002C4A040FFF16FFF1B20BFF0009E5A648A32E89
2022-02-20 00:00:00, 39.806400, -61.437800, 0, 2022, 2, 20, 0, 0, 16.47, 8, 15.0, 360, 36, 254, 20, 002C4A000FFF0C7FF23214FF1689E748485D5FF9
2022-02-19 23:00:00, 39.806400, -61.437800, 0, 2022, 2, 19, 23, 0, 16.42, 8, 15.0, 300, 36, 254, 15, 002C49DC0FFF0BDFF2320FFF12C9E748485D5FF9
2022-02-19 22:00:00, 39.806400, -61.437800, 0, 2022, 2, 19, 22, 0, 15.67, 6, 15.0, 240, 36, 254, 4, 002C49D80FFF027FF1B204FF0F09E748485D5FF9
2022-02-19 21:00:00, 39.806400, -61.437800, 0, 2022, 2, 19, 21, 0, 15.68, 5, 15.0, 180, 36, 254, 22, 002C49D40FFF029FF17216FF0B49E748485D5FF9
2022-02-19 20:00:00, 39.806400, -61.437800, 0, 2022, 2, 19, 20, 0, 15.85, 7, 15.0, 120, 36, 254, 21, 002C49D00FFF04BFF1F215FF0789E748485D5FF9
2022-02-19 19:00:00, 39.806400, -61.437800, 0, 2022, 2, 19, 19, 0, 16.02, 6, 15.0, 60, 24, 254, 14, 002C49CC0FFF06DFF1B20EFF03C9E748485D5FF6
2022-02-19 18:00:00, 39.806400, -61.437800, 0, 2022, 2, 19, 18, 0, 15.95, 7, 15.0, 0, 36, 220, 18, 002C49C80FFF05FFF1F212FF0009E748485D5EE9
2022-02-19 17:00:00, 39.817000, -61.511400, 0, 2022, 2, 19, 17, 0, 16.38, 7, 15.0, 0, 36, 232, 21, 002C49C40FFF0B5FF1F215FF0009E77D4851DF49
2022-02-19 16:00:00, 39.831800, -61.671000, 0, 2022, 2, 19, 16, 0, 15.95, 7, 15.0, 60, 36, 254, 8, 002C49C00FFF05FFF1F208FF03C9E7C74838EFF9
2022-02-19 15:00:00, 39.831800, -61.671000, 0, 2022, 2, 19, 15, 0, 15.90, 7, 15.0, 0, 40, 202, 20, 002C49BC0FFF055FF1F214FF0009E7C74838EE5A
2022-02-19 14:00:00, 39.837000, -61.748400, 0, 2022, 2, 19, 14, 0, 15.76, 6, 15.0, 0, 36, 202, 11, 002C49B80FFF039FF1B20BFF0009E7E1482CD659
2022-02-19 13:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 13, 0, 15.70, 7, 15.0, 1620, 40, 254, 4, 002C49B40FFF02DFF1F204FF6549E034470FCFFA
2022-02-19 12:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 12, 0, 15.72, 7, 15.0, 1560, 36, 254, 7, 002C49B00FFF031FF1F207FF6189E034470FCFF9
2022-02-19 11:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 11, 0, 15.81, 6, 15.0, 1500, 40, 254, 4, 002C49AC0FFF043FF1B204FF5DC9E034470FCFFA
2022-02-19 10:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 10, 0, 15.73, 12, 15.0, 1440, 36, 254, 9, 002C49A80FFF033FF33209FF5A09E034470FCFF9
2022-02-19 09:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 9, 0, 15.81, 7, 15.0, 1380, 36, 254, 7, 002C49A40FFF043FF1F207FF5649E034470FCFF9
2022-02-19 08:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 8, 0, 15.93, 8, 15.0, 1320, 36, 254, 18, 002C49A00FFF05BFF23212FF5289E034470FCFF9
2022-02-19 07:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 7, 0, 15.79, 7, 15.0, 1260, 36, 254, 8, 002C499C0FFF03FFF1F208FF4EC9E034470FCFF9
2022-02-19 06:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 6, 0, 15.68, 8, 15.0, 1200, 36, 254, 21, 002C49980FFF029FF23215FF4B09E034470FCFF9
2022-02-19 05:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 5, 0, 15.68, 7, 15.0, 1140, 36, 254, 4, 002C49940FFF029FF1F204FF4749E034470FCFF9
2022-02-19 04:00:00, 39.444000, -63.572600, 0, 2022, 2, 19, 4, 0, 15.60, 7, 15.0, 1080, 36, 254, 10, 002C49900FFF019FF1F20AFF4389E034470FCFF9
